Date : 2023-08-21 16:07:15
Directory : d:\codes\996ForCredit
Total : 565 files,  40918 codes, 2295 comments, 2304 blanks, all 45517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         40 |     16,550 |        552 |        285 |     17,387 |
| JSON               |         10 |     10,368 |         23 |          6 |     10,397 |
| Java               |        114 |      2,958 |        406 |        725 |      4,089 |
| HTML               |         61 |      2,637 |         72 |        258 |      2,967 |
| XML                |        175 |      2,032 |        128 |        100 |      2,260 |
| vue                |         40 |      1,674 |         79 |        213 |      1,966 |
| TypeScript         |         34 |      1,625 |        534 |        120 |      2,279 |
| SCSS               |         29 |      1,132 |        144 |        146 |      1,422 |
| Markdown           |         22 |      1,082 |          0 |        312 |      1,394 |
| SQL                |         10 |        319 |         69 |         91 |        479 |
| Draw.io            |          5 |        306 |          0 |          2 |        308 |
| YAML               |          8 |        126 |         30 |         29 |        185 |
| CSS                |          3 |         38 |          1 |          6 |         45 |
| JSON with Comments |          3 |         20 |         25 |          1 |         46 |
| Properties         |          8 |         19 |         12 |          1 |         32 |
| TypeScript JSX     |          1 |         13 |          0 |          1 |         14 |
| JavaScript JSX     |          1 |         10 |        219 |          8 |        237 |
| Ignore             |          1 |          9 |          1 |          0 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        565 |     40,918 |      2,295 |      2,304 |     45,517 |
| . (Files)                                                                                                                     |          1 |          1 |          0 |          2 |          3 |
| 20230727-front                                                                                                                |          1 |         55 |          0 |          4 |         59 |
| 20230728-front                                                                                                                |         23 |        613 |         16 |         77 |        706 |
| 20230728-front\jquery                                                                                                         |          6 |        205 |          6 |         22 |        233 |
| 20230728-front\js                                                                                                             |          1 |          1 |          1 |          0 |          2 |
| 20230728-front\js的Object                                                                                                      |         16 |        407 |          9 |         55 |        471 |
| 20230729                                                                                                                      |         18 |        652 |         23 |         67 |        742 |
| 20230729 (Files)                                                                                                              |         17 |        651 |         22 |         67 |        740 |
| 20230729\js                                                                                                                   |          1 |          1 |          1 |          0 |          2 |
| 20230731                                                                                                                      |         18 |        510 |        113 |        126 |        749 |
| 20230731 (Files)                                                                                                              |          1 |         12 |          4 |          2 |         18 |
| 20230731\_20230731-jdbc                                                                                                       |          9 |        202 |         45 |         35 |        282 |
| 20230731\_20230731-jdbc (Files)                                                                                               |          2 |         26 |         20 |         12 |         58 |
| 20230731\_20230731-jdbc\.idea                                                                                                 |          5 |         51 |          0 |          0 |         51 |
| 20230731\_20230731-jdbc\src                                                                                                   |          2 |        125 |         25 |         23 |        173 |
| 20230731\_20230731-jdbc\src\main                                                                                              |          2 |        125 |         25 |         23 |        173 |
| 20230731\_20230731-jdbc\src\main\java                                                                                         |          2 |        125 |         25 |         23 |        173 |
| 20230731\_20230731-jdbc\src\main\java\com                                                                                     |          2 |        125 |         25 |         23 |        173 |
| 20230731\_20230731-jdbc\src\main\java\com\tjetc                                                                               |          2 |        125 |         25 |         23 |        173 |
| 20230731\_20230731-jdbc\src\main\java\com\tjetc (Files)                                                                       |          1 |         93 |         25 |         14 |        132 |
| 20230731\_20230731-jdbc\src\main\java\com\tjetc\entity                                                                        |          1 |         32 |          0 |          9 |         41 |
| 20230731\_20240731-mysql                                                                                                      |          7 |        243 |         59 |         84 |        386 |
| 20230731\querys                                                                                                               |          1 |         53 |          5 |          5 |         63 |
| 20230801                                                                                                                      |         14 |        476 |         95 |         73 |        644 |
| 20230801\_20230801-mybatis                                                                                                    |         14 |        476 |         95 |         73 |        644 |
| 20230801\_20230801-mybatis (Files)                                                                                            |          1 |         31 |          0 |          4 |         35 |
| 20230801\_20230801-mybatis\.idea                                                                                              |          5 |         46 |          0 |          0 |         46 |
| 20230801\_20230801-mybatis\src                                                                                                |          8 |        399 |         95 |         69 |        563 |
| 20230801\_20230801-mybatis\src\main                                                                                           |          6 |        237 |         50 |         43 |        330 |
| 20230801\_20230801-mybatis\src\main\java                                                                                      |          3 |         66 |         14 |         30 |        110 |
| 20230801\_20230801-mybatis\src\main\java\com                                                                                  |          3 |         66 |         14 |         30 |        110 |
| 20230801\_20230801-mybatis\src\main\java\com\tjetc                                                                            |          3 |         66 |         14 |         30 |        110 |
| 20230801\_20230801-mybatis\src\main\java\com\tjetc\common                                                                     |          1 |         13 |          3 |          4 |         20 |
| 20230801\_20230801-mybatis\src\main\java\com\tjetc\dao                                                                        |          1 |         21 |         11 |         18 |         50 |
| 20230801\_20230801-mybatis\src\main\java\com\tjetc\entity                                                                     |          1 |         32 |          0 |          8 |         40 |
| 20230801\_20230801-mybatis\src\main\resources                                                                                 |          3 |        171 |         36 |         13 |        220 |
| 20230801\_20230801-mybatis\src\main\resources (Files)                                                                         |          2 |         33 |         14 |          2 |         49 |
| 20230801\_20230801-mybatis\src\main\resources\mapper                                                                          |          1 |        138 |         22 |         11 |        171 |
| 20230801\_20230801-mybatis\src\test                                                                                           |          2 |        162 |         45 |         26 |        233 |
| 20230801\_20230801-mybatis\src\test\java                                                                                      |          2 |        162 |         45 |         26 |        233 |
| 20230801\_20230801-mybatis\src\test\java\com                                                                                  |          2 |        162 |         45 |         26 |        233 |
| 20230801\_20230801-mybatis\src\test\java\com\tjetc                                                                            |          2 |        162 |         45 |         26 |        233 |
| 20230802                                                                                                                      |         36 |        853 |         61 |        184 |      1,098 |
| 20230802\_20230802-mybatis                                                                                                    |         35 |        842 |         60 |        184 |      1,086 |
| 20230802\_20230802-mybatis (Files)                                                                                            |          1 |         36 |          1 |          6 |         43 |
| 20230802\_20230802-mybatis\.idea                                                                                              |          4 |         40 |          0 |          0 |         40 |
| 20230802\_20230802-mybatis\src                                                                                                |         30 |        766 |         59 |        178 |      1,003 |
| 20230802\_20230802-mybatis\src\main                                                                                           |         26 |        566 |         55 |        139 |        760 |
| 20230802\_20230802-mybatis\src\main\java                                                                                      |         17 |        341 |         26 |        115 |        482 |
| 20230802\_20230802-mybatis\src\main\java\com                                                                                  |         17 |        341 |         26 |        115 |        482 |
| 20230802\_20230802-mybatis\src\main\java\com\tjetc                                                                            |         17 |        341 |         26 |        115 |        482 |
| 20230802\_20230802-mybatis\src\main\java\com\tjetc\common                                                                     |          1 |         13 |          3 |          4 |         20 |
| 20230802\_20230802-mybatis\src\main\java\com\tjetc\dao                                                                        |          7 |         46 |          0 |         27 |         73 |
| 20230802\_20230802-mybatis\src\main\java\com\tjetc\entity                                                                     |          7 |        228 |          4 |         68 |        300 |
| 20230802\_20230802-mybatis\src\main\java\com\tjetc\enums                                                                      |          1 |         25 |          0 |          8 |         33 |
| 20230802\_20230802-mybatis\src\main\java\com\tjetc\handlers                                                                   |          1 |         29 |         19 |          8 |         56 |
| 20230802\_20230802-mybatis\src\main\resources                                                                                 |          9 |        225 |         29 |         24 |        278 |
| 20230802\_20230802-mybatis\src\main\resources (Files)                                                                         |          2 |         39 |         22 |          4 |         65 |
| 20230802\_20230802-mybatis\src\main\resources\com                                                                             |          7 |        186 |          7 |         20 |        213 |
| 20230802\_20230802-mybatis\src\main\resources\com\tjetc                                                                       |          7 |        186 |          7 |         20 |        213 |
| 20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao                                                                   |          7 |        186 |          7 |         20 |        213 |
| 20230802\_20230802-mybatis\src\test                                                                                           |          4 |        200 |          4 |         39 |        243 |
| 20230802\_20230802-mybatis\src\test\java                                                                                      |          4 |        200 |          4 |         39 |        243 |
